,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
0,36.8,36.8,36.8,36.8,36.8,36.8,36.8,36.8,36.8,36.8,36.8,36.8,36.8,36.8,36.8,36.8,36.8,36.8,36.8,36.8,36.8
1,28.6,29.4,30.2,30.7,31.0,31.1,31.0,30.7,30.4,30.2,30.0,29.7,29.5,29.3,29.1,29.0,29.0,29.0,29.0,29.0,29.0
2,34.0,33.5,33.1,32.6,32.2,31.7,31.2,30.8,30.3,29.9,29.4,29.0,28.5,28.2,27.9,27.7,27.6,27.6,27.6,27.6,27.6
3,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0
4,52.2,52.1,51.8,51.3,50.6,49.7,48.5,47.3,46.2,45.0,44.1,43.4,42.9,42.7,42.6,42.6,42.6,42.6,42.6,42.6,42.6
5,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0
6,50.0,50.8,51.7,51.7,51.4,50.8,49.4,47.9,46.7,45.8,44.9,44.0,43.0,42.3,41.8,41.6,41.6,41.8,42.1,42.3,42.4
7,39.4,37.6,36.2,35.0,35.3,35.3,34.2,33.5,32.7,30.8,29.6,29.6,29.2,29.5,30.2,30.7,31.3,31.9,32.3,32.5,32.6
8,33.0,33.2,33.3,33.4,33.5,33.7,34.0,34.3,34.7,34.9,35.0,34.2,33.6,32.9,32.4,31.9,32.2,32.3,32.3,32.3,32.3
9,27.8,28.2,28.6,29.0,29.3,29.3,29.4,29.6,29.8,30.2,30.5,30.7,30.7,30.8,30.6,30.6,30.6,30.6,30.5,30.5,30.5
10,35.6,35.9,35.8,35.5,34.9,34.1,33.0,32.3,31.9,31.7,31.8,32.1,32.2,32.4,32.4,32.4,32.4,32.4,32.4,32.4,32.4
11,43.7,43.7,43.7,43.7,43.7,43.7,43.7,43.7,43.7,43.7,43.7,43.7,43.7,43.7,43.7,43.7,43.7,43.7,43.7,43.7,43.7
12,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0
13,33.2,33.3,33.3,33.3,33.3,33.3,33.2,33.1,33.0,32.8,32.6,32.4,32.3,32.2,32.2,32.3,32.3,32.3,32.4,32.4,32.4
14,45.5,45.4,45.2,45.1,44.9,44.8,44.7,44.5,44.4,44.2,44.1,44.0,43.9,43.8,43.8,43.8,43.8,43.8,43.8,43.8,43.8
15,31.1,31.3,31.2,30.5,29.5,28.8,28.3,28.1,28.0,28.2,28.4,28.2,27.6,27.3,27.2,26.8,26.8,26.9,27.0,26.9,27.0
16,27.1,27.5,27.8,28.0,28.6,28.9,28.8,29.1,29.1,28.7,28.5,28.5,28.2,28.0,27.9,27.8,27.8,27.8,27.8,27.7,27.7
17,55.7,55.0,53.6,53.3,53.3,53.3,53.3,53.3,53.3,53.3,53.3,53.3,53.3,53.3,53.3,53.3,53.3,53.3,53.3,53.3,53.3
18,39.5,39.3,39.1,38.9,38.9,39.0,39.3,39.7,40.2,40.7,41.3,41.8,42.4,43.1,44.0,45.1,46.0,46.9,47.5,47.8,47.8
19,40.9,40.9,40.9,40.9,40.8,40.5,40.1,39.5,39.0,38.6,38.4,38.4,38.5,38.6,38.6,38.5,38.3,38.0,37.8,37.6,37.5
20,58.3,58.7,58.9,58.7,58.1,57.5,57.3,56.4,55.1,54.0,51.8,49.7,48.1,47.4,47.1,47.0,46.7,46.3,45.7,45.1,44.6
21,30.0,30.0,30.2,30.8,31.6,32.3,33.0,33.4,33.5,33.3,33.1,33.0,33.0,33.0,32.9,32.9,32.8,32.7,32.7,32.7,32.7
22,62.5,63.0,63.4,63.9,64.1,64.1,63.9,63.5,62.9,62.3,61.7,61.2,60.8,60.6,60.5,60.5,60.5,60.5,60.5,60.5,60.5
